product_id,sku,product_name,product_name_en,category_id,category_name,unit_id,unit_name,supplier_id,stock_quantity,reorder_level,reorder_quantity,import_price,selling_price,date_received,expiration_date,warehouse_location,sales_90d,avg_daily_sales_90d,forecast_14d,suggested_import_quantity,status,source_row_count
PROD0025,DAI-0025,Trứng gà,Egg (Chicken),CAT03,Sữa & Trứng,UNIT07,vỉ,SUP004,10,30,24,4000,5000,2025-02-07,2025-07-02,Kệ 2 - Tầng 2,26,0.29,5,25,Cần nhập,7
PROD0026,DAI-0026,Trứng vịt,Egg (Duck),CAT03,Sữa & Trứng,UNIT07,vỉ,SUP003,16,38,61,4000,5000,2024-12-23,2025-05-18,Kệ 3 - Tầng 3,28,0.31,5,27,Cần nhập,9
PROD0027,DAI-0027,Trứng ngỗng,Egg (Goose),CAT03,Sữa & Trứng,UNIT07,vỉ,SUP004,22,63,49,9000,12000,2025-02-15,2025-07-12,Kệ 4 - Tầng 4,28,0.31,5,46,Cần nhập,13
PROD0028,DAI-0028,Trứng cút,Egg (Quail),CAT03,Sữa & Trứng,UNIT07,vỉ,SUP003,62,64,74,4000,5000,2025-02-09,2025-07-07,Kệ 5 - Tầng 1,24,0.27,4,6,Cần nhập,6
PROD0029,DAI-0029,Trứng gà tây,Egg (Turkey),CAT03,Sữa & Trứng,UNIT07,vỉ,SUP004,33,69,58,10000,12000,2024-12-17,2025-05-15,Kệ 6 - Tầng 2,17,0.19,3,39,Cần nhập,10
PROD0030,DAI-0030,Sữa đặc không đường,Evaporated Milk,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,32,53,76,8000,10000,2025-02-01,2025-07-01,Kệ 7 - Tầng 3,12,0.13,2,23,Cần nhập,8
PROD0031,DAI-0031,Phô mai Feta,Feta Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,81,50,40,29000,35000,2025-01-30,2025-06-30,Kệ 8 - Tầng 4,11,0.12,2,0,Đang bán,6
PROD0032,DAI-0032,Phô mai Gouda,Gouda Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,35,29,62,29000,35000,2025-02-13,2025-07-15,Kệ 1 - Tầng 1,33,0.37,6,0,Đang bán,7
PROD0033,DAI-0033,Sữa chua Hy Lạp,Greek Yogurt,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,44,55,54,11000,15000,2025-01-20,2025-06-22,Kệ 2 - Tầng 2,18,0.2,3,14,Cần nhập,5
PROD0034,DAI-0034,Kem béo,Heavy Cream,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,60,60,72,15000,20000,2025-02-21,2025-07-25,Kệ 3 - Tầng 3,14,0.16,3,3,Cần nhập,9
PROD0035,DAI-0035,Sữa tươi,Milk,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,5,64,48,4000,5000,2024-11-06,2025-04-10,Kệ 4 - Tầng 4,13,0.14,2,61,Cần nhập,5
PROD0036,DAI-0036,Phô mai Mozzarella,Mozzarella Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,25,56,26,26000,35000,2025-02-10,2025-07-16,Kệ 5 - Tầng 1,20,0.22,4,35,Cần nhập,7
PROD0037,DAI-0037,Phô mai Parmesan,Parmesan Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,40,41,57,46000,60000,2025-01-26,2025-07-02,Kệ 6 - Tầng 2,23,0.26,4,5,Cần nhập,9
PROD0038,DAI-0038,Phô mai Ricotta,Ricotta Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,37,46,62,23000,30000,2025-02-10,2025-07-18,Kệ 7 - Tầng 3,27,0.3,5,14,Cần nhập,9
PROD0039,DAI-0039,Kem chua,Sour Cream,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,13,55,12,16000,20000,2025-02-01,2025-07-10,Kệ 8 - Tầng 4,23,0.26,4,46,Cần nhập,6
PROD0040,DAI-0040,Phô mai Thụy Sĩ,Swiss Cheese,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,52,26,48,32000,40000,2025-01-19,2025-06-28,Kệ 1 - Tầng 1,15,0.17,3,0,Đang bán,10
PROD0041,DAI-0041,Kem tươi đánh bông,Whipped Cream,CAT03,Sữa & Trứng,UNIT05,hộp,SUP004,50,58,62,16000,20000,2025-02-19,2025-07-30,Kệ 2 - Tầng 2,16,0.18,3,11,Cần nhập,6
PROD0042,DAI-0042,Sữa chua,Yogurt,CAT03,Sữa & Trứng,UNIT05,hộp,SUP003,36,69,63,7000,9000,2025-02-12,2025-07-24,Kệ 3 - Tầng 3,40,0.44,7,40,Cần nhập,9
PROD0043,FRU-0043,Táo,Apple,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,47,58,45,15000,18000,2025-01-29,2025-03-27,Kệ 4 - Tầng 4,24,0.27,4,15,Ngừng bán,7
PROD0044,FRU-0044,Mơ,Apricot,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,46,61,52,18000,25000,2025-01-31,2025-03-30,Kệ 5 - Tầng 1,27,0.3,5,20,Cần nhập,7
PROD0045,FRU-0045,Măng tây,Asparagus,CAT04,Rau củ & Trái cây,UNIT01,bó,SUP012,38,14,38,18000,25000,2025-01-14,2025-01-28,Kệ 6 - Tầng 2,19,0.21,3,0,Đang bán,8
PROD0046,FRU-0046,Chuối,Banana,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,45,22,60,129000,173000,2024-09-17,2024-10-02,Kệ 7 - Tầng 3,24,0.27,4,0,Đang bán,4
PROD0047,FRU-0047,Ớt chuông,Bell Pepper,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,45,32,40,17000,22000,2025-01-17,2025-02-02,Kệ 8 - Tầng 4,35,0.39,6,0,Đang bán,12
PROD0048,FRU-0048,Việt quất,Blueberries,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,29,46,50,38000,50000,2025-01-17,2025-02-03,Kệ 1 - Tầng 1,19,0.21,3,20,Cần nhập,8
PROD0049,FRU-0049,Bông cải xanh,Broccoli,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,35,54,58,16000,20000,2025-02-20,2025-03-10,Kệ 2 - Tầng 2,25,0.28,4,23,Cần nhập,10
PROD0050,FRU-0050,Bắp cải,Cabbage,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,54,54,44,4000,5000,2024-12-23,2025-01-11,Kệ 3 - Tầng 3,22,0.24,4,4,Cần nhập,8
PROD0051,FRU-0051,Cà rốt,Carrot,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,54,60,57,6000,8000,2025-02-14,2025-03-06,Kệ 4 - Tầng 4,13,0.14,2,8,Cần nhập,7
PROD0052,FRU-0052,Súp lơ trắng,Cauliflower,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,35,58,52,10000,12000,2025-01-13,2025-02-03,Kệ 5 - Tầng 1,25,0.28,4,27,Cần nhập,14
PROD0053,FRU-0053,Anh đào,Cherry,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,13,54,40,33000,40000,2024-12-25,2025-01-16,Kệ 6 - Tầng 2,23,0.26,4,45,Cần nhập,4
PROD0054,FRU-0054,Dừa,Coconut,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,28,53,25,21000,25000,2024-12-18,2025-01-10,Kệ 7 - Tầng 3,28,0.31,5,30,Cần nhập,7
PROD0055,FRU-0055,Dưa leo,Cucumber,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,10,36,65,6000,9000,2025-02-20,2025-03-16,Kệ 8 - Tầng 4,28,0.31,5,31,Cần nhập,11
PROD0056,FRU-0056,Cà tím,Eggplant,CAT04,Rau củ & Trái cây,UNIT07,vỉ,SUP002,27,42,48,11000,15000,2025-01-19,2025-02-13,Kệ 1 - Tầng 1,21,0.23,4,19,Cần nhập,10
PROD0057,FRU-0057,Tỏi,Garlic,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,16,31,30,26000,35000,2024-07-13,2024-08-08,Kệ 2 - Tầng 2,22,0.24,4,19,Cần nhập,4
PROD0058,FRU-0058,Nho,Grapes,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,40,64,70,21000,28000,2025-02-12,2025-03-11,Kệ 3 - Tầng 3,16,0.18,3,27,Cần nhập,14
PROD0059,FRU-0059,Sữa chua Hy Lạp,Greek Yogurt,CAT04,Rau củ & Trái cây,UNIT05,hộp,SUP012,27,41,17,180000,234000,2025-01-08,2025-02-05,Kệ 4 - Tầng 4,18,0.2,3,17,Cần nhập,2
PROD0060,FRU-0060,Đậu que,Green Beans,CAT04,Rau củ & Trái cây,UNIT01,bó,SUP002,19,66,34,8000,10000,2025-01-09,2025-02-07,Kệ 5 - Tầng 1,17,0.19,3,50,Cần nhập,8
PROD0061,FRU-0061,Cải xoăn,Kale,CAT04,Rau củ & Trái cây,UNIT01,bó,SUP012,36,52,87,16000,20000,2024-12-19,2025-01-18,Kệ 6 - Tầng 2,25,0.28,4,20,Cần nhập,5
PROD0062,FRU-0062,Kiwi,Kiwi,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,33,42,52,24000,30000,2025-02-06,2025-03-09,Kệ 7 - Tầng 3,9,0.1,2,11,Ngừng bán,6
PROD0063,FRU-0063,Chanh vàng,Lemon,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,53,60,56,10000,12000,2025-01-28,2025-03-01,Kệ 8 - Tầng 4,12,0.13,2,9,Cần nhập,9
PROD0064,FRU-0064,Xà lách,Lettuce,CAT04,Rau củ & Trái cây,UNIT01,bó,SUP002,60,14,40,8000,10000,2025-01-15,2025-02-17,Kệ 1 - Tầng 1,13,0.14,2,0,Đang bán,4
PROD0065,FRU-0065,Chanh xanh,Lime,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,9,39,57,8000,10000,2025-02-17,2025-03-23,Kệ 2 - Tầng 2,20,0.22,4,34,Cần nhập,7
PROD0066,FRU-0066,Xoài,Mango,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,49,58,28,18000,25000,2025-02-24,2025-03-31,Kệ 3 - Tầng 3,12,0.13,2,11,Cần nhập,11
PROD0067,FRU-0067,Nấm,Mushrooms,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,27,32,39,22000,30000,2025-01-06,2025-02-11,Kệ 4 - Tầng 4,31,0.34,5,10,Cần nhập,8
PROD0068,FRU-0068,Hành tây,Onion,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,19,38,63,7000,10000,2025-02-13,2025-03-22,Kệ 5 - Tầng 1,20,0.22,4,23,Cần nhập,12
PROD0069,FRU-0069,Cam,Orange,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,64,48,61,11000,15000,2025-02-07,2025-03-17,Kệ 6 - Tầng 2,17,0.19,3,0,Đang bán,11
PROD0070,FRU-0070,Đu đủ,Papaya,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,19,28,60,17000,22000,2025-02-09,2025-03-20,Kệ 7 - Tầng 3,33,0.37,6,15,Cần nhập,8
PROD0071,FRU-0071,Đào,Peach,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,18,69,57,16000,20000,2025-02-21,2025-04-02,Kệ 8 - Tầng 4,27,0.3,5,56,Cần nhập,9
PROD0072,FRU-0072,Lê,Pear,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,40,52,48,17000,22000,2024-12-31,2025-02-10,Kệ 1 - Tầng 1,21,0.23,4,16,Cần nhập,9
PROD0073,FRU-0073,Đậu Hà Lan,Peas,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,24,49,10,12000,15000,2024-12-13,2025-01-24,Kệ 2 - Tầng 2,38,0.42,6,31,Cần nhập,6
PROD0074,FRU-0074,Dứa,Pineapple,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,26,50,37,15000,18000,2024-11-26,2025-01-08,Kệ 3 - Tầng 3,20,0.22,4,28,Cần nhập,10
PROD0075,FRU-0075,Mận,Plum,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,15,53,70,17000,20000,2024-12-12,2025-01-25,Kệ 4 - Tầng 4,17,0.19,3,41,Cần nhập,10
PROD0076,FRU-0076,Lựu,Pomegranate,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,40,61,44,25000,30000,2025-02-10,2025-03-27,Kệ 5 - Tầng 1,19,0.21,3,24,Cần nhập,15
PROD0077,FRU-0077,Khoai tây,Potato,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,21,58,69,4000,6000,2025-01-19,2025-03-06,Kệ 6 - Tầng 2,7,0.08,2,39,Cần nhập,5
PROD0078,FRU-0078,Rau chân vịt,Spinach,CAT04,Rau củ & Trái cây,UNIT01,bó,SUP002,39,50,72,9000,12000,2024-10-07,2024-11-23,Kệ 7 - Tầng 3,14,0.16,3,14,Cần nhập,6
PROD0079,FRU-0079,Dâu tây,Strawberries,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,16,52,46,22000,30000,2024-09-30,2024-11-17,Kệ 8 - Tầng 4,26,0.29,5,41,Cần nhập,6
PROD0080,FRU-0080,Khoai lang,Sweet Potato,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,25,35,38,8000,10000,2024-12-01,2025-01-19,Kệ 1 - Tầng 1,47,0.52,8,18,Cần nhập,6
PROD0081,FRU-0081,Cà chua,Tomato,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,57,49,60,9000,12000,2024-12-15,2025-02-03,Kệ 2 - Tầng 2,47,0.52,8,0,Đang bán,5
PROD0082,FRU-0082,Dưa hấu,Watermelon,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP002,36,41,43,12000,15000,2025-01-22,2025-03-14,Kệ 3 - Tầng 3,17,0.19,3,8,Cần nhập,9
PROD0083,FRU-0083,Bí ngòi,Zucchini,CAT04,Rau củ & Trái cây,UNIT06,kg,SUP012,41,56,48,10000,12000,2025-02-19,2025-04-12,Kệ 4 - Tầng 4,15,0.17,3,18,Cần nhập,10
PROD0084,GRA-0084,Bột mì đa dụng,All-Purpose Flour,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,43,42,20,7000,9000,2024-12-03,2026-01-11,Kệ 5 - Tầng 1,11,0.12,2,1,Ngừng bán,3
PROD0085,GRA-0085,Bột hạnh nhân,Almond Flour,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,70,34,63,39000,48000,2025-01-23,2026-03-04,Kệ 6 - Tầng 2,4,0.04,1,0,Đang bán,10
PROD0086,GRA-0086,Gạo Arborio,Arborio Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,32,33,74,18000,22000,2024-11-26,2026-01-06,Kệ 7 - Tầng 3,22,0.24,4,5,Cần nhập,6
PROD0087,GRA-0087,Gạo Basmati,Basmati Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,32,56,63,18000,22000,2024-12-08,2026-01-19,Kệ 8 - Tầng 4,8,0.09,2,26,Cần nhập,6
PROD0088,GRA-0088,Gạo lứt đen,Black Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,41,53,76,22000,31000,2025-01-05,2026-02-17,Kệ 1 - Tầng 1,17,0.19,3,15,Cần nhập,12
PROD0089,GRA-0089,Bột mì làm bánh mì,Bread Flour,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,55,77,50,6000,8000,2025-02-16,2026-04-01,Kệ 2 - Tầng 2,8,0.09,2,24,Cần nhập,19
PROD0090,GRA-0090,Gạo lứt,Brown Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,30,54,47,9000,12000,2024-12-06,2025-12-06,Kệ 3 - Tầng 3,14,0.16,3,27,Cần nhập,9
PROD0091,GRA-0091,Súp lơ trắng,Cauliflower,CAT05,Ngũ cốc & Đậu hạt,UNIT03,cái,SUP011,27,38,32,12000,16000,2024-10-25,2025-10-26,Kệ 4 - Tầng 4,13,0.14,2,13,Cần nhập,1
PROD0092,GRA-0092,Đường dừa,Coconut Sugar,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,36,55,73,19000,25000,2025-02-19,2026-02-21,Kệ 5 - Tầng 1,13,0.14,2,21,Cần nhập,5
PROD0093,GRA-0093,Gạo thơm Jasmine,Jasmine Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,19,26,74,19000,24000,2025-02-22,2026-02-25,Kệ 6 - Tầng 2,27,0.3,5,12,Cần nhập,13
PROD0094,GRA-0094,Gạo hạt dài,Long Grain Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,43,59,62,6000,8000,2025-02-19,2026-02-23,Kệ 7 - Tầng 3,19,0.21,3,19,Cần nhập,9
PROD0095,GRA-0095,Đường bột,Powdered Sugar,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,47,19,37,10000,12000,2025-02-05,2026-02-10,Kệ 8 - Tầng 4,16,0.18,3,0,Đang bán,9
PROD0096,GRA-0096,Đường thô,Raw Sugar,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,59,72,68,7000,8000,2024-09-29,2025-10-05,Kệ 1 - Tầng 1,13,0.14,2,15,Cần nhập,5
PROD0097,GRA-0097,Bột gạo,Rice Flour,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,19,44,53,8000,10000,2024-11-16,2025-11-23,Kệ 2 - Tầng 2,12,0.13,2,27,Cần nhập,7
PROD0098,GRA-0098,Gạo hạt ngắn,Short Grain Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,40,77,76,13000,15000,2025-01-21,2026-01-29,Kệ 3 - Tầng 3,13,0.14,2,39,Cần nhập,7
PROD0099,GRA-0099,Gạo Nhật làm sushi,Sushi Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,34,44,54,16000,22000,2025-02-13,2026-02-22,Kệ 4 - Tầng 4,8,0.09,2,12,Cần nhập,10
PROD0100,GRA-0100,Gạo trắng,White Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,29,70,42,7000,9000,2025-01-06,2026-01-16,Kệ 5 - Tầng 1,8,0.09,2,43,Cần nhập,4
PROD0101,GRA-0101,Đường trắng,White Sugar,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,27,61,54,7000,10000,2024-12-31,2026-01-11,Kệ 6 - Tầng 2,11,0.12,2,36,Cần nhập,11
PROD0102,GRA-0102,Bột mì nguyên cám,Whole Wheat Flour,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP001,53,68,64,11000,14000,2025-02-23,2026-03-07,Kệ 7 - Tầng 3,7,0.08,2,17,Cần nhập,8
PROD0103,GRA-0103,Gạo hoang dã,Wild Rice,CAT05,Ngũ cốc & Đậu hạt,UNIT06,kg,SUP011,29,43,50,38000,50000,2024-11-25,2025-12-08,Kệ 8 - Tầng 4,15,0.17,3,17,Cần nhập,8
PROD0104,OIL-0104,Dầu bơ,Avocado Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP005,12,86,39,39000,50000,2024-10-04,2025-10-18,Kệ 1 - Tầng 1,18,0.2,3,77,Cần nhập,7
PROD0105,OIL-0105,Dầu hạt cải,Canola Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP006,40,51,63,10000,12000,2025-01-14,2026-01-29,Kệ 2 - Tầng 2,29,0.32,5,16,Cần nhập,9
PROD0106,OIL-0106,Dầu dừa,Coconut Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP005,57,78,68,20000,25000,2024-11-26,2025-12-12,Kệ 3 - Tầng 3,15,0.17,3,24,Ngừng bán,4
PROD0107,OIL-0107,Dầu bắp,Corn Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP006,25,52,34,10000,12000,2025-01-25,2026-02-11,Kệ 4 - Tầng 4,7,0.08,2,29,Cần nhập,9
PROD0108,OIL-0108,Dầu ô liu,Olive Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP005,29,50,43,25000,30000,2024-10-24,2025-11-11,Kệ 5 - Tầng 1,21,0.23,4,25,Cần nhập,6
PROD0109,OIL-0109,Dầu cọ,Palm Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP006,40,49,66,8000,9000,2024-10-31,2025-11-19,Kệ 6 - Tầng 2,11,0.12,2,11,Cần nhập,8
PROD0110,OIL-0110,Dầu đậu phộng,Peanut Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP005,24,25,47,14000,20000,2025-01-30,2026-02-19,Kệ 7 - Tầng 3,25,0.28,4,5,Cần nhập,9
PROD0111,OIL-0111,Dầu mè,Sesame Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP006,49,72,56,23000,32000,2025-01-28,2026-02-18,Kệ 8 - Tầng 4,15,0.17,3,26,Cần nhập,12
PROD0112,OIL-0112,Dầu hướng dương,Sunflower Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP005,40,30,18,9000,12000,2025-01-21,2026-02-12,Kệ 1 - Tầng 1,20,0.22,4,0,Đang bán,6
PROD0113,OIL-0113,Dầu thực vật,Vegetable Oil,CAT06,Dầu ăn & Chất béo,UNIT02,chai,SUP006,34,72,32,8000,10000,2025-02-23,2026-03-18,Kệ 2 - Tầng 2,17,0.19,3,41,Cần nhập,7
PROD0114,SEA-0114,Cá cơm,Anchovies,CAT07,Hải sản,UNIT05,hộp,SUP010,70,51,70,38000,50000,2025-02-19,2025-03-29,Kệ 3 - Tầng 3,11,0.12,2,0,Đang bán,11
